Genotype	Pop	Sex	Sample	TGA.Plate	TGA	TGA.Prot	Protein	TGA.CanS
PC136	PC	F	C3	11172017-2	2.484	0.234339622641509	10.6	0.773398094526432
PC136	PC	F	D3	11172017-2	2.294	0.192773109243697	11.9	0.636214881992399
PC136	PC	F	E3	11172017-2	1.997	0.162357723577236	12.3	0.535834071212
PC136	PC	F	F3	11172017-2	2.513	0.232685185185185	10.8	0.767937904901601
PC200	PC	F	A3	11172017-2	2.846	0.198521205357143	14.336	0.655185496228195
PC200	PC	F	B3	11172017-2	2.929	0.190566037735849	15.37	0.628930817610063
PC200	PC	F	C3	11172017-2	2.514	0.154233128834356	16.3	0.509020227176092
PC200	PC	F	D3	11172017-2	2.784	0.187601078167116	14.84	0.619145472498733
PC200	PC	F	E3	11172017-2	2.176	0.120888888888889	18	0.398973230656399
PC200	PC	F	F3	11172017-2	2.636	0.171502927781392	15.37	0.566016263304924
FFD10	FFD	F	A2	11212017-2	3.846	0.289826676714393	13.27	1.00634262748053
FFD10	FFD	F	B2	11212017-2	3.3	0.2578125	12.8	0.895182291666667
FFD10	FFD	F	C2	11212017-2	3.608	0.501111111111111	7.2	1.73996913580247
FFD10	FFD	F	D2	11212017-2	3.623	0.398131868131868	9.1	1.38240231990232
FFD10	FFD	F	E2	11212017-2	3.028	0.322127659574468	9.4	1.1184988179669
FFD10	FFD	F	F2	11212017-2	3.642	0.543582089552239	6.7	1.88743781094527
FFD22	FFD	F	A3	11212017-2	3.45	0.302631578947368	11.4	1.05080409356725
FFD22	FFD	F	B3	11212017-2	1.936	0.189247311827957	10.23	0.657108721624851
FFD22	FFD	F	C3	11212017-2	2.445	0.313863928112965	7.79	1.0898053059478
FFD22	FFD	F	D3	11212017-2	2.372	0.328531855955679	7.22	1.14073561095722
FFD22	FFD	F	E3	11212017-2	2.023	0.225907314349525	8.955	0.784400397046962
FFD22	FFD	F	F3	11212017-2	1.612	0.201248439450687	8.01	0.698779303648219
PC114	PC	F	A3	11212017-2	2.985	0.262302284710018	11.38	0.910771821909785
PC114	PC	F	B3	11212017-2	2.63	0.219349457881568	11.99	0.761630062088778
PC114	PC	F	C3	11212017-2	2.508	0.191450381679389	13.1	0.664758269720101
PC114	PC	F	D3	11212017-2	2.209	0.183930058284763	12.01	0.638646035710983
PC114	PC	F	E3	11212017-2	2.536	0.198125	12.8	0.687934027777778
PC114	PC	F	F3	11212017-2	1.742	0.141373153708814	12.322	0.490879005933382
PC167	PC	F	A3	11212017-2	1.826	0.168761552680222	10.82	0.585977613472993
PC167	PC	F	B3	11212017-2	1.955	0.145137342242019	13.47	0.50394910500701
PC167	PC	F	C3	11212017-2	1.869	0.141805766312595	13.18	0.492381133029844
PC167	PC	F	D3	11212017-2	1.61	0.134840871021776	11.94	0.468197468825611
PC167	PC	F	E3	11212017-2	1.81	0.182092555331992	9.94	0.632265817124972
PC167	PC	F	F3	11212017-2	1.615	0.135259631490787	11.94	0.469651498231899
FFD14	FFD	M	A4	11212017-3	1.772	0.206046511627907	8.6	1.31239816323508
