Genotype	Pop	Sex	Sample	TGA.Plate	TGA.Raw	Prot.Plate	Protein	TGA.Protein
PC113	PC	F	C2	3042016	2.13566151779718	3042016	9.19212074699412	0.232336103558643
PC113	PC	F	D2	3042016	2.0962614730244	3042016	9.20542338193912	0.227720267286916
PC113	PC	F	E2	3042016	1.45242892321469	3042016	8.37042721923765	0.173519091101657
PC113	PC	F	F2	3042016	1.65211551376763	3042016	9.92581222819135	0.166446379982414
PC113	PC	F	A2	4272016	2.45861349408764	4282016	9.5380042462845	0.257770224315573
PC113	PC	F	B2	4272016	2.98539299791329	4282016	6.27515923566879	0.47574776763336
PC113	PC	F	C2	4272016	2.11546487363784	4282016	8.74309978768578	0.241958221341288
PC113	PC	F	D2	4272016	3.14583816369117	4282016	5.95668789808917	0.528118682313423
PC113	PC	F	E2	4272016	1.92070484581498	4282016	8.18174097664544	0.23475502968104
PC113	PC	F	F2	4272016	1.73336424762346	4282016	5.56687898089172	0.311370923200096
PC113	PC	F	A4	5312016	1.83996576807873	5312016-2	8.38414026698545	0.219457894248744
PC113	PC	F	B4	5312016	2.41762943945229	5312016-2	6.68260609683204	0.361779432218576
PC113	PC	F	C4	5312016	2.31578947368421	5312016-2	9.95895596732417	0.232533358042995
PC113	PC	F	D4	5312016	2.51690201112537	5312016-2	10.0035863717872	0.251599968009844
PC113	PC	F	E4	5312016	2.27128797603766	5312016-2	6.82127913927077	0.332970976508149
PC113	PC	F	F4	5312016	2.70774497218656	5312016-2	6.3765690376569	0.424639795506948
PC113	PC	F	A5	6162016	1.98716702313825	6162016	7.77292961346908	0.255652260081559
PC113	PC	F	B5	6162016	2.01983278242271	6162016	6.98047512010225	0.289354628112065
PC113	PC	F	C5	6162016	1.68150884697647	6162016	7.0624531711402	0.238091326941146
PC113	PC	F	D5	6162016	1.76783978222827	6162016	9.90612190929525	0.178459320248164
PC113	PC	F	E5	6162016	1.7095080692203	6162016	8.99378553484067	0.190076588172789
PC113	PC	F	F5	6162016	1.3836282325491	6162016	6.68782229274097	0.206887709030621
PC114	PC	F	A2	3092016	2.16789268714842	3092016-2	10.1564779874214	0.213449257688868
PC114	PC	F	B2	3092016	1.28256166161835	3092016-2	8.95698113207547	0.143191287634337
PC114	PC	F	C2	3092016	2.28645607961921	3092016-2	13.9723270440252	0.163641752187367
PC114	PC	F	D2	3092016	1.6546949372566	3092016-2	13.0083018867925	0.127202993262067
PC114	PC	F	E2	3092016	2.03980960623107	3092016-2	10.6847798742138	0.19090796724356
PC114	PC	F	F2	3092016	1.23323236694072	3092016-2	9.87572327044025	0.124875144145847
PC114	PC	F	A4	6082016	2.76006226373138	6082016-2	12.4429250658179	0.221817800005368
PC114	PC	F	B4	6082016	2.73871469868801	6082016-2	12.8319383865771	0.213429539340125
PC114	PC	F	C4	6082016	2.74316210807205	6082016-2	9.76305552281033	0.280973728118512
PC114	PC	F	D4	6082016	2.44518567934178	6082016-2	12.0774883099532	0.202458128427801
PC114	PC	F	E4	6082016	2.16055147876362	6082016-2	10.0294707061181	0.215420289073246
PC114	PC	F	F4	6082016	2.48788080942851	6082016-2	9.27109120201187	0.26834821869605
PC114	PC	F	A3	5312016-2	2.5479056331247	5232016	10.3249292166644	0.246772213122041
PC114	PC	F	B3	5312016-2	2.79441502166586	5232016	8.65399307896274	0.322904698001076
PC114	PC	F	C3	5312016-2	2.34376504573905	5232016	9.87730888499393	0.23728781523678
PC114	PC	F	D3	5312016-2	2.34857968223399	5232016	13.3585007415397	0.175811621953265
PC114	PC	F	E3	5312016-2	2.15599422243621	5232016	10.896588917352	0.197859553919937
PC114	PC	F	F3	5312016-2	NA	5232016	7.89088130870523	NA
PC12	PC	F	A3	3102016	1.92030043813895	3102016	12.4809019545862	0.153859107709225
PC12	PC	F	B3	3102016	2.11141247652827	3102016	7.72456667193509	0.273337336086367
PC12	PC	F	C3	3102016	1.7634049655748	3102016	7.63605710974132	0.230931348499898
PC12	PC	F	D3	3102016	1.77008136866263	3102016	9.40519466835256	0.188202523294787
PC12	PC	F	E3	3102016	1.91278948466514	3102016	10.3682629998419	0.184485046790798
PC12	PC	F	F3	3102016	2.21823492593365	3102016	11.6442758548022	0.190500032255663
PC12	PC	F	A4	5262016	3.87823039859834	6032016	12.8115572551519	0.302713426741217
PC12	PC	F	B4	5262016	2.3539202803329	6032016	11.4127894625027	0.20625284362485
PC12	PC	F	C4	5262016	2.12702584318879	6032016	9.5653282345443	0.222368306767271
PC12	PC	F	D4	5262016	2.3197547087166	6032016	11.0711705969832	0.20953111402228
PC12	PC	F	E4	5262016	2.50372317126588	6032016	NA	NA
PC12	PC	F	F4	5262016	NA	6032016	NA	NA
PC12	PC	F	A6	06032019-1	3.12587087784487	05302019-3	13.8174132406082	0.226226922754124
PC12	PC	F	B6	06032019-1	3.46957733395262	05302019-3	10.7506647576191	0.322731422863287
PC12	PC	F	C6	06032019-1	2.71342313051556	05302019-3	11.4297402331765	0.237400244901406
PC12	PC	F	D6	06032019-1	4.03622851834649	05302019-3	13.5228744801255	0.298474153870062
PC12	PC	F	E6	06032019-1	2.61309800278681	05302019-3	13.141064975796	0.198849789389199
PC12	PC	F	F6	06032019-1	2.69112865768695	05302019-3	11.6860980432263	0.230284620900201
PC136	PC	F	A3	6012016	2.15425065731814	5312016	10.0398568407353	0.214569858065861
PC136	PC	F	B3	6012016	2.40578439964943	5312016	9.09793395152107	0.264431948227895
PC136	PC	F	C3	6012016	2.39877300613497	5312016	10.8207255571824	0.221683194297702
PC136	PC	F	D3	6012016	1.74057843996494	5312016	11.6788677403612	0.149036574320442
PC136	PC	F	E3	6012016	1.98773006134969	5312016	9.00601919635595	0.220711284088088
PC136	PC	F	F3	6012016	2.40929009640666	5312016	9.5949243533431	0.251100478511559
PC136	PC	F	A4	6082016	2.03869246164109	6082016-2	8.72018546897717	0.233790034500289
PC136	PC	F	B4	6082016	2.3686902379364	6082016-2	9.11155644622578	0.259965490189941
PC136	PC	F	C4	6082016	3.12297086946853	6082016-2	9.73397775944045	0.320831929828454
PC136	PC	F	D4	6082016	2.14187235935068	6082016-2	6.91893591103776	0.309566729174894
PC136	PC	F	E4	6082016	1.93195463642428	6082016-2	7.86592793429997	0.245610518245387
PC136	PC	F	F4	6082016	1.60195686012898	6082016-2	8.44276788871862	0.189743089143732
PC136	PC	F	A6	06032019-1	2.10682768230376	04302019-1	9.30763447474541	0.226354793800752
PC136	PC	F	B6	06032019-1	1.19461216906642	04302019-1	6.52723668922152	0.183019587912155
PC136	PC	F	C6	06032019-1	1.89131444496052	04302019-1	11.2131774998291	0.168668911643407
PC136	PC	F	D6	06032019-1	2.35949837436136	04302019-1	12.1167384320962	0.194730486886739
PC136	PC	F	E6	06032019-1	1.97398978169995	04302019-1	11.001298612535	0.179432433499329
PC136	PC	F	F6	06032019-1	1.96377148165351	04302019-1	12.4024331898025	0.158337598082621
PC141	PC	F	A2	3032016	2.54755043227666	3032016	11.4939578654689	0.221642576220869
PC141	PC	F	B2	3032016	2.8030739673391	3032016	12.0575339535879	0.232474897282376
PC141	PC	F	C2	3032016	2.70509125840538	3032016	11.004170676933	0.245824182287159
PC141	PC	F	D2	3032016	2.79634966378482	3032016	9.24179232167683	0.302576552951306
PC141	PC	F	E2	3032016	2.20365033621518	3032016	11.8179873810288	0.186465788561652
PC141	PC	F	F2	3032016	2.37271853986551	3032016	8.21730296225003	0.288746630222312
PC141	PC	F	A1	1282016-2	1.71513479091488	02012016-2	9.8470573840695	0.174177393714554
PC141	PC	F	B1	1282016-2	1.46975164508597	02012016-2	8.4269342142828	0.174411192458924
