Genotype	Pop	Sex	Sample	Kit	Glu-Plate	Glu	Prot-Plate	Protein	GluNorm	Glu.CanS
FFD29	FFD	M	B5	HK	05282019-2	0.477456733268959	04292019-6	8.39831878435176	0.0568514658146324	1.29502200033331
FFD29	FFD	M	C5	HK	05282019-2	0.32771299116096	04292019-6	5.77950210151956	0.0567026337917235	1.29163174924199
FFD29	FFD	M	D5	HK	05282019-2	0.336032087944737	04292019-6	6.14807630132557	0.0546564602446925	1.24502187345541
FFD29	FFD	M	E5	HK	05282019-2	0.211839857386912	04292019-6	6.07824118978338	0.0348521637711553	0.793898946951146
FFD29	FFD	M	F5	HK	05282019-2	0.195795885018198	04292019-6	5.72389266084707	0.0342067709196389	0.779197515253733
FFD6	FFD	M	B5	HK	05282019-2	0.363960484290277	04292019-2	9.21636008355232	0.0394906970854803	0.899560298074722
FFD6	FFD	M	C5	HK	05282019-2	0.325336106365595	04292019-2	10.0950070749949	0.032227427276544	0.734109960741321
FFD6	FFD	M	D5	HK	05282019-2	0.325038995766174	04292019-2	8.57219863890574	0.0379178095909903	0.863731425762877
FFD6	FFD	M	E5	HK	05282019-2	0.340488746936047	04292019-2	8.79725085910653	0.038703994280621	0.881639960834191
FFD6	FFD	M	F5	HK	05282019-2	0.377627571863626	04292019-2	8.17869415807561	0.0461721106774433	1.05175650745885
PC114	PC	M	A5	HK	05282019-2	0.274530193864666	04292019-2	10.8886673313393	0.0252124695806001	0.574315935776768
PC114	PC	M	B5	HK	05282019-2	0.261457327490158	04292019-2	11.1665004985045	0.0234144374529132	0.53335848412103
PC114	PC	M	C5	HK	05282019-2	0.302755700809626	04292019-2	9.93020937188434	0.0304883501919734	0.694495448564314
PC114	PC	M	D5	HK	05282019-2	0.291168387432222	04292019-2	8.74044533067464	0.0333127634138234	0.758832879585954
PC114	PC	M	E5	HK	05282019-2	0.330089875956325	04292019-2	10.0671319375208	0.0327888695613554	0.746899078846364
PC114	PC	M	F5	HK	05282019-2	0.28582039664265	04292019-2	8.25257560651379	0.0346340839842837	0.788931298047465
PC12	PC	M	B5	HK	05282019-2	0.548763277129912	04292019-6	7.79217786993837	0.0704248909983176	1.60421164005279
